participant.id_in_session,rpd.round.1,rpd.round.2,rpd.round.3,rpd.round.4,rpd.round.5,rpd.round.6,rpd.round.7,rpd.round.8,rpd.round.9,rpd.round.10,rpd.round.11,rpd.round.12,rpd.round.13,rpd.round.14,rpd.round.15,rpd.round.16,rpd.round.17,rpd.round.18,rpd.round.19,rpd.round.20
60,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
52,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
58,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
54,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1
68,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
80,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
78,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
64,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1
76,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
82,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
72,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1
70,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
86,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
84,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0
92,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
88,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
90,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
56,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
98,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
96,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1
104,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1
34,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
120,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
108,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
106,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1
112,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
138,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0
132,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
122,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
126,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
128,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
118,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
148,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
114,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
136,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
102,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1
146,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0
152,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1
144,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
150,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1
154,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0
134,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
66,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0
140,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0
162,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
160,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
174,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
170,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
